X,Y
-1.08,-0.43
-1.08,-0.43
-0.43,-0.21
-0.43,-0.21
-0.43,-0.21
-0.43,-0.21
-1.07,0.00
-1.07,0.00
-1.07,0.00
-1.07,0.00
-1.08,-0.22
-1.08,-0.22
-1.08,-0.22
-1.08,-0.22
-0.86,-0.43
-0.86,-0.43
-0.86,-0.43
-0.86,-0.43
-1.06,-0.42
-1.06,-0.42
-1.06,-0.42
-1.06,-0.42
-0.87,-0.22
-0.87,-0.22
-0.87,-0.22
-0.87,-0.22
-0.86,-0.43
-0.86,-0.43
-0.86,-0.43
-0.86,-0.43
-1.08,-0.43
-1.08,-0.43
-1.08,-0.43
-1.08,-0.43
-0.65,0.00
-0.65,0.00
-0.65,0.00
-0.65,0.00
3.48,0.65
3.48,0.65
3.48,0.65
3.48,0.65
-1.07,-0.64
-1.07,-0.64
-1.07,-0.64
-1.07,-0.64
-1.05,1.47
-1.05,1.47
-1.05,1.47
-1.05,1.47
0.21,0.00
0.21,0.00
0.21,0.00
0.21,0.00
0.86,-1.93
0.86,-1.93
0.86,-1.93
0.86,-1.93
-1.31,1.53
-1.31,1.53
-1.31,1.53
-1.31,1.53
1.11,-1.11
1.11,-1.11
1.11,-1.11
1.11,-1.11
-2.28,-0.23
-2.28,-0.23
-2.28,-0.23
-2.28,-0.23
2.26,-0.62
2.26,-0.62
2.26,-0.62
2.26,-0.62
-1.69,-1.48
-1.69,-1.48
-1.69,-1.48
-1.69,-1.48
-3.56,-0.22
-3.56,-0.22
-3.56,-0.22
-3.56,-0.22
-0.59,-0.59
-0.59,-0.59
-0.59,-0.59
-0.59,-0.59
-2.97,-1.27
-2.97,-1.27
-2.97,-1.27
-2.97,-1.27
2.52,-0.46
2.52,-0.46
2.52,-0.46
2.52,-0.46
2.15,0.00
2.15,0.00
2.15,0.00
2.15,0.00
2.15,0.00
-1.85,-0.41
-1.85,-0.41
-1.85,-0.41
-1.85,-0.41
0.00,-0.20
0.00,-0.20
0.00,-0.20
0.00,-0.20
-0.66,4.16
-0.66,4.16
-0.66,4.16
-0.66,4.16
-6.98,-0.40
-6.98,-0.40
-6.98,-0.40
-6.98,-0.40
-0.65,2.37
-0.65,2.37
-0.65,2.37
-0.65,2.37
1.79,-2.68
1.79,-2.68
1.79,-2.68
1.79,-2.68
-7.34,14.29
-7.34,14.29
-7.34,14.29
-7.34,14.29
-5.40,-5.19
-5.40,-5.19
-5.40,-5.19
-5.40,-5.19
-1.41,-0.94
-1.41,-0.94
-1.41,-0.94
-1.41,-0.94
-3.72,6.77
-3.72,6.77
-3.72,6.77
-3.72,6.77
5.09,-7.41
5.09,-7.41
5.09,-7.41
5.09,-7.41
-6.25,-13.95
-6.25,-13.95
-6.25,-13.95
-6.25,-13.95
-4.36,3.48
-4.36,3.48
-4.36,3.48
-4.36,3.48
-2.80,7.43
-2.80,7.43
-2.80,7.43
-2.80,7.43
2.49,21.24
2.49,21.24
2.49,21.24
2.49,21.24
5.38,-6.22
5.38,-6.22
5.38,-6.22
5.38,-6.22
-9.38,-16.18
-9.38,-16.18
-9.38,-16.18
-9.38,-16.18
3.81,-30.01
3.81,-30.01
3.81,-30.01
3.81,-30.01
-7.53,6.20
-7.53,6.20
-7.53,6.20
-7.53,6.20
-13.06,12.86
-13.06,12.86
-13.06,12.86
-15.26,15.02
6.06,3.63
6.06,3.63
6.06,3.63
5.66,3.39
8.82,-17.19
8.82,-17.19
8.82,-17.19
7.99,-11.54
7.42,-11.18
7.42,-11.18
7.42,-11.18
-0.96,-4.21
-0.96,-4.21
-0.96,-4.21
-0.96,-4.21
13.11,18.80
13.11,18.80
13.11,18.80
13.11,18.80
-19.09,-8.67
-19.09,-8.67
-19.09,-8.67
-19.09,-8.67
-1.22,-3.95
-1.22,-3.95
-1.22,-3.95
-1.22,-3.95
-19.40,33.87
-19.40,33.87
-19.40,33.87
-19.40,33.87
21.79,-7.21
21.79,-7.21
21.79,-7.21
21.79,-7.21
23.31,-0.87
23.31,-0.87
23.31,-0.87
23.31,-0.87
-6.98,-6.25
-6.98,-6.25
-6.98,-6.25
-6.98,-6.25
-9.50,69.89
-9.50,69.89
-9.50,69.89
-9.50,69.89
7.20,9.92
7.20,9.92
7.20,9.92
7.20,9.92
-166.52,44.38
-166.52,44.38
-166.52,44.38
4.66,-7.55
4.31,-7.55
4.31,-7.55
4.31,-7.55
-7.54,-2.39
-7.54,-2.39
-7.54,-2.39
-7.54,-2.39
20.40,7.78
20.40,7.78
20.40,7.78
20.40,7.78
14.44,11.08
14.44,11.08
14.44,11.08
14.44,11.08
8.49,-3.15
8.49,-3.15
8.49,-3.15
8.49,-3.15
21.29,3.41
21.29,3.41
21.29,3.41
21.29,3.41
13.88,6.48
13.88,6.48
13.88,6.48
13.88,6.48
-146.58,51.51
-146.58,51.51
-146.58,51.51
-146.58,51.51
-66.03,11.32
-66.03,11.32
-66.03,11.32
-69.60,3.61
40.31,7.91
40.31,7.91
